Columns,Group,Units,Availability,Timing,Note
Date,key,date,always,-,"exchange trading date, local"
Symbol,key,code,always,-,index code
"Open,High,Low,Close",price,index points,always,known at close t,exchange daily bar from Yahoo Finance
Return,target,log return,always,known at close t,log(C_t/C_t-1). PRIMARY TARGET for GARCH-EVT and Quantile Regression
"Return_Pct,Return_Sq,AbsReturn,NegReturn",target,various,always,known at close t,"transformations of Return; NegReturn = |min(r,0)| leverage term"
RV,realized,daily variance,RV_Valid only,known at close t,"5-min realized variance, cash session only. PRIMARY realized measure"
"RVol,LogRV,RVol_Ann_Pct",realized,sd / log / annualised %,RV_Valid only,known at close t,transformations of RV
"RV_1min,RV_ss",realized,daily variance,RV_Valid only,known at close t,1-min RV and the 5-grid subsampled RV (Zhang-Mykland-Ait-Sahalia)
"BPV,MedRV",realized,daily variance,RV_Valid only,known at close t,jump-robust integrated variance. MedRV is robust to consecutive jumps
"Jump,ContVar,JumpShare",realized,daily variance / ratio,RV_Valid only,known at close t,"J = max(RV - MedRV, 0); ContVar = RV - J; JumpShare = J/RV"
"RS_pos,RS_neg,SignedJump,RSV_Ratio",realized,daily variance / ratio,RV_Valid only,known at close t,realized semivariance. RS_pos + RS_neg = RV EXACTLY. RSV_Ratio = RS_neg/RV
LogRS_neg,realized,log variance,RV_Valid only,known at close t,"DO NOT use together with LogRV - VIF ~95, they are the same variable plus a constant"
"RQ,TQ,RV_RelSE",realized,quarticity / ratio,RV_Valid only,known at close t,realized quarticity for HAR-Q; RV_RelSE = sqrt(2*RQ/n)/RV is the relative measurement error
"RSkew,RKurt",realized,dimensionless,RV_Valid only,known at close t,intraday realized skewness and kurtosis (Amaya et al. 2015)
NoiseRatio_1v5,diagnostic,ratio,RV_Valid only,known at close t,"RV_1min / RV_5min; a microstructure-noise indicator, ~1.06-1.09 here"
"RV_d,RV_w,RV_m",HAR,daily variance,RV_Valid only,known at close t,"HAR cascade: today, trailing 5-day mean, trailing 22-day mean, all INCLUDING t"
"LogRV_d,LogRV_w,LogRV_m,RSneg_*,CV_*,J_*",HAR,various,RV_Valid only,known at close t,"same cascade on the log, semivariance, continuous and jump parts"
"RV_Scaled,ScaleFactor_HL",realized,daily variance,RV_Valid only,IN-SAMPLE constant,"Hansen-Lunde scaling of session RV onto close-to-close variance. WARNING: the factor is estimated once over the whole of sample B, so it is in-sample information. Fine for the measurement equation and for description; for a strict recursive out-of-sample exercise re-estimate it on each rolling window."
"VolIdx,VolIdx_Symbol,VolIdx_IsProxy",implied,annualised vol %,always,known at close t,regional implied volatility index actually used; IsProxy flags NKY->VXEFA
"IV_DailyVar,LogIV",implied,daily variance,always,known at close t,(VolIdx/100)^2/252 - the vol index converted onto the RV scale
VRP,implied,daily variance,RV_Valid only,known at close t,variance risk premium = IV_DailyVar - RV
